0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:47:11 +0530] "GET /Aman/plugins/raphael/raphael.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:47:11 +0530] "GET /Aman/plugins/morrisjs/morris.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:47:11 +0530] "GET /Aman/images/user-img-background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:47:11 +0530] "GET /Aman/plugins/chartjs/Chart.bundle.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:47:11 +0530] "GET /Aman/plugins/flot-charts/jquery.flot.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:47:11 +0530] "GET /Aman/plugins/flot-charts/jquery.flot.resize.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:47:11 +0530] "GET /Aman/plugins/flot-charts/jquery.flot.pie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:47:11 +0530] "GET /Aman/plugins/flot-charts/jquery.flot.categories.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:47:11 +0530] "GET /Aman/plugins/flot-charts/jquery.flot.time.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:47:11 +0530] "GET /Aman/plugins/jquery-sparkline/jquery.sparkline.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:47:11 +0530] "GET /Aman/js/admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:47:11 +0530] "GET /Aman/js/pages/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:00:47:11 +0530] "GET /Aman/js/demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/NewFile.jsp HTTP/1.1" 200 44748
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/s%22https://fonts.googleapis.com/css?family=Roboto:400,700&subset=latin,cyrillic-ext" HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/plugins/bootstrap-colorpicker/css/bootstrap-colorpicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/plugins/node-waves/waves.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/plugins/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/plugins/jquery-spinner/css/bootstrap-spinner.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/plugins/dropzone/dropzone.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/plugins/bootstrap-tagsinput/bootstrap-tagsinput.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/plugins/bootstrap-material-datetimepicker/css/bootstrap-material-datetimepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/plugins/waitme/waitMe.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/plugins/morrisjs/morris.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/plugins/nouislider/nouislider.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/plugins/animate-css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/plugins/bootstrap-select/css/bootstrap-select.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/plugins/multi-select/css/multi-select.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/plugins/jquery-datatable/skin/bootstrap/css/dataTables.bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/plugins/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/plugins/bootstrap/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/plugins/bootstrap-select/js/bootstrap-select.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/plugins/jquery-slimscroll/jquery.slimscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/plugins/node-waves/waves.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/plugins/jquery-countto/jquery.countTo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/plugins/raphael/raphael.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/plugins/morrisjs/morris.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/plugins/chartjs/Chart.bundle.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/plugins/flot-charts/jquery.flot.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/plugins/flot-charts/jquery.flot.resize.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/plugins/flot-charts/jquery.flot.pie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/plugins/flot-charts/jquery.flot.categories.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/plugins/flot-charts/jquery.flot.time.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/plugins/jquery-sparkline/jquery.sparkline.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/css/themes/all-themes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/js/admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/js/demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/js/pages/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:51 +0530] "GET /Aman/images/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:52 +0530] "GET /Aman/css/materialize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:11:20:52 +0530] "GET /Aman/images/user-img-background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/NewFile.jsp HTTP/1.1" 200 44748
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/s%22https://fonts.googleapis.com/css?family=Roboto:400,700&subset=latin,cyrillic-ext" HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/plugins/bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/plugins/bootstrap-colorpicker/css/bootstrap-colorpicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/plugins/node-waves/waves.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/plugins/jquery-spinner/css/bootstrap-spinner.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/plugins/dropzone/dropzone.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/plugins/waitme/waitMe.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/plugins/bootstrap-material-datetimepicker/css/bootstrap-material-datetimepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/plugins/animate-css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/plugins/bootstrap-tagsinput/bootstrap-tagsinput.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/plugins/morrisjs/morris.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/plugins/nouislider/nouislider.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/plugins/bootstrap-select/css/bootstrap-select.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/plugins/multi-select/css/multi-select.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/plugins/jquery-datatable/skin/bootstrap/css/dataTables.bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/plugins/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/plugins/bootstrap/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/plugins/bootstrap-select/js/bootstrap-select.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/plugins/jquery-slimscroll/jquery.slimscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/plugins/node-waves/waves.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/css/themes/all-themes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/plugins/jquery-countto/jquery.countTo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/plugins/morrisjs/morris.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/plugins/chartjs/Chart.bundle.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/plugins/raphael/raphael.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/plugins/flot-charts/jquery.flot.resize.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/plugins/flot-charts/jquery.flot.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/plugins/flot-charts/jquery.flot.pie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/plugins/flot-charts/jquery.flot.categories.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/plugins/flot-charts/jquery.flot.time.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/plugins/jquery-sparkline/jquery.sparkline.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/js/admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/js/pages/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/js/demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/images/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/css/materialize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:06:48 +0530] "GET /Aman/images/user-img-background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:07:01 +0530] "GET /Aman/NewFile.jsp HTTP/1.1" 200 44748
0:0:0:0:0:0:0:1 - - [19/Feb/2018:22:07:01 +0530] "GET /Aman/s%22https://fonts.googleapis.com/css?family=Roboto:400,700&subset=latin,cyrillic-ext" HTTP/1.1" 404 1076
